"rodada","mandante","gols.mandante","gols.visitante","visitante","estadio","data","hora"
1,"Fortaleza - CE","0","2","Athletico Paranaense - PR","Arena Castelão - CE","08/08/2020","19:00"
1,"Coritiba - PR","0","1","Internacional - RS","Couto Pereira - PR","08/08/2020","19:30"
1,"Sport - PE","3","2","Ceará - CE","Ilha do Retiro - PE","08/08/2020","21:00"
1,"Flamengo - RJ","0","1","Atlético - MG","Maracanã - RJ","09/08/2020","16:00"
1,"Santos - SP","1","1","Red Bull Bragantino - SP","Vila Belmiro - SP","09/08/2020","16:00"
1,"Grêmio - RS","1","0","Fluminense - RJ","Arena do Grêmio - RS","09/08/2020","19:00"
1,"Botafogo - RJ","1","2","Bahia - BA","Nilton Santos - RJ","30/09/2020","21:30"
1,"Corinthians - SP","0","0","Atlético - GO","Neo Química Arena - SP","30/09/2020","21:30"
1,"Goiás - GO","0","3","São Paulo - SP","Hailé Pinheiro - GO","03/12/2020","19:00"
1,"Palmeiras - SP","1","1","Vasco da Gama - RJ","Allianz Parque - SP","26/01/2021","20:00"
2,"Red Bull Bragantino - SP","1","1","Botafogo - RJ","Nabi Abi Chedid - SP","12/08/2020","19:15"
2,"Athletico Paranaense - PR","2","1","Goiás - GO","Arena da Baixada - PR","12/08/2020","19:15"
2,"Atlético - MG","3","2","Corinthians - SP","Mineirão - MG","12/08/2020","19:15"
2,"Atlético - GO","3","0","Flamengo - RJ","Olímpico Pedro Ludovico - GO","12/08/2020","20:30"
2,"Bahia - BA","1","0","Coritiba - PR","Pituaçu - BA","12/08/2020","20:30"
2,"Ceará - CE","1","1","Grêmio - RS","Arena Castelão - CE","12/08/2020","21:30"
2,"Fluminense - RJ","1","1","Palmeiras - SP","Maracanã - RJ","12/08/2020","21:30"
2,"São Paulo - SP","1","0","Fortaleza - CE","Morumbi - SP","13/08/2020","19:15"
2,"Internacional - RS","2","0","Santos - SP","Beira-Rio - RS","13/08/2020","19:30"
2,"Vasco da Gama - RJ","2","0","Sport - PE","São Januário - RJ","13/08/2020","20:00"
3,"Grêmio - RS","0","0","Corinthians - SP","Arena do Grêmio - RS","15/08/2020","19:00"
3,"Coritiba - PR","0","1","Flamengo - RJ","Couto Pereira - PR","15/08/2020","19:30"
3,"Palmeiras - SP","1","1","Goiás - GO","Allianz Parque - SP","15/08/2020","21:30"
3,"Atlético - MG","2","0","Ceará - CE","Mineirão - MG","16/08/2020","11:00"
3,"Vasco da Gama - RJ","2","1","São Paulo - SP","São Januário - RJ","16/08/2020","16:00"
3,"Bahia - BA","2","1","Red Bull Bragantino - SP","Pituaçu - BA","16/08/2020","16:00"
3,"Fluminense - RJ","2","1","Internacional - RS","Maracanã - RJ","16/08/2020","18:00"
